[2025-09-04 11:16:34,582] 17 root - INFO -Initiate the Data Ingestion
[2025-09-04 11:16:35,775] 67 root - INFO -Performed train test split on the dataframe
[2025-09-04 11:16:35,775] 69 root - INFO -Exited split_data_as_train_test method of Data_Ingestion Class
[2025-09-04 11:16:35,777] 75 root - INFO -Exporting train and test file path
[2025-09-04 11:16:35,835] 19 root - INFO -Data Intiation Completed
[2025-09-04 11:16:35,842] 24 root - INFO -Initiate the data validation
[2025-09-04 11:16:35,887] 33 root - INFO -Required number of columns:2
[2025-09-04 11:16:35,887] 34 root - INFO -Data frame has columns:31
[2025-09-04 11:16:35,887] 33 root - INFO -Required number of columns:2
[2025-09-04 11:16:35,887] 34 root - INFO -Data frame has columns:31
[2025-09-04 11:16:36,055] 33 root - INFO -Required number of columns:2
[2025-09-04 11:16:36,055] 34 root - INFO -Data frame has columns:31
[2025-09-04 11:16:36,055] 33 root - INFO -Required number of columns:2
[2025-09-04 11:16:36,055] 34 root - INFO -Data frame has columns:31
[2025-09-04 11:16:36,203] 27 root - INFO -data validation completed
[2025-09-04 11:16:36,203] 30 root - INFO -Data Transformation Started
[2025-09-04 11:16:36,203] 52 root - INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-09-04 11:16:36,203] 54 root - INFO -Starting data transformation
[2025-09-04 11:16:36,226] 38 root - INFO -Entered get_data_transformer_object method of Transformation Class
[2025-09-04 11:16:36,226] 43 root - INFO -Initiate KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-04 11:16:36,238] 41 root - INFO -Entered the save_object method of mainUtils class
[2025-09-04 11:16:36,241] 45 root - INFO -Exited the save_object method of main utils class
[2025-09-04 11:16:36,242] 35 root - INFO -Data Transformation Completed
[2025-09-04 11:16:36,242] 37 root - INFO -Model Training Started
[2025-09-04 11:20:11,398] 41 root - INFO -Entered the save_object method of mainUtils class
[2025-09-04 11:20:11,399] 45 root - INFO -Exited the save_object method of main utils class
[2025-09-04 11:20:11,399] 106 root - INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_04_2025_11_16_33\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913538805818329, precision_score=0.9890399837629389, recall_score=0.9936786296900489), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9754552652414885, precision_score=0.9677926158680282, recall_score=0.9832402234636871))
[2025-09-04 11:20:11,400] 41 root - INFO -Model Training Artifact Created
